Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Afghanistan,,,,,,,,,,
Albania,5759.0,6663.0,7280.0,7649.0,8083.0,8214.0,8848.0,8994.0,9181.0,10476.0
Algeria,89746.0,101183.0,114311.0,125202.0,136986.0,149231.0,151931.0,154599.0,157010.0,170999.0
Andorra,,,,,,,,,,
Angola,10890.0,11396.0,12100.0,13102.0,14389.0,15364.0,16128.0,17201.0,18899.0,19649.0
Antigua and Barbuda,274.0,311.0,330.0,361.0,412.0,458.0,521.0,569.0,620.0,678.0
Argentina,172522.0,177997.0,183044.0,197314.0,208525.0,200165.0,218786.0,229867.0,233316.0,225476.0
Armenia,,,,,,,,,,
Aruba,,,,,,,741.0,882.0,1083.0,1262.0
Australia,155319.0,177030.0,188086.0,194526.0,214337.0,233179.0,243698.0,261944.0,282715.0,307388.0
Austria,84657.0,92574.0,100169.0,107011.0,111241.0,117332.0,122496.0,127636.0,133406.0,144027.0
Azerbaijan,,,,,,,,,,
Bahamas,2658.0,2825.0,3188.0,3539.0,3754.0,4032.0,4220.0,4484.0,4747.0,5047.0
Bahrain,7326.0,8242.0,9312.0,10353.0,11176.0,11422.0,11708.0,11851.0,13000.0,13646.0
Bangladesh,40711.0,47053.0,51562.0,56051.0,60500.0,64750.0,68686.0,72448.0,76794.0,83235.0
Barbados,1513.0,1625.0,1641.0,1714.0,1839.0,1918.0,2057.0,2163.0,2317.0,2495.0
Belarus,,,,,,,,,,
Belgium,106129.0,115845.0,123735.0,128982.0,136933.0,143596.0,149157.0,156372.0,169533.0,182293.0
Belize,206.0,226.0,222.0,245.0,283.0,287.0,315.0,393.0,451.0,542.0
Benin,3581.0,3996.0,4314.0,4393.0,4570.0,4919.0,5156.0,5174.0,5540.0,5593.0
Bhutan,194.0,241.0,277.0,309.0,345.0,371.0,409.0,503.0,600.0,662.0
Bolivia,10681.0,11727.0,11961.0,11927.0,12333.0,12509.0,12433.0,13054.0,13908.0,15001.0
Bosnia and Herzegovina,,,,,,,,,,
Botswana,1785.0,2113.0,2600.0,2994.0,3304.0,3671.0,4067.0,4788.0,6118.0,6655.0
Brazil,570510.0,597009.0,637674.0,640115.0,698418.0,777425.0,852913.0,905479.0,939886.0,1007999.0
Brunei,,,,,,13137.0,13030.0,13394.0,13816.0,14674.0
Bulgaria,47017.0,54193.0,59958.0,64175.0,69550.0,73041.0,78460.0,84180.0,89240.0,92276.0
Burkina Faso,2564.0,2881.0,3102.0,3184.0,3352.0,3849.0,4239.0,4333.0,4746.0,5038.0
Burundi,1283.0,1576.0,1655.0,1784.0,1851.0,2135.0,2249.0,2431.0,2643.0,2784.0
Cape Verde,226.0,268.0,293.0,333.0,359.0,402.0,422.0,451.0,495.0,543.0
Cambodia,,,,,,,,4241.0,4813.0,5168.0
Cameroon,10334.0,13241.0,15122.0,16790.0,18695.0,20850.0,22714.0,22775.0,21724.0,22176.0
Canada,288709.0,327094.0,336235.0,358492.0,393376.0,425039.0,442898.0,472338.0,510559.0,542874.0
Central African Republic,1006.0,1243.0,1273.0,1243.0,1416.0,1515.0,1657.0,1698.0,1788.0,1928.0
Chad,1858.0,1814.0,2029.0,2439.0,2660.0,2960.0,3200.0,3399.0,3784.0,4009.0
Chile,38406.0,44651.0,40968.0,41379.0,45396.0,47753.0,51441.0,56182.0,62402.0,71726.0
China,302760.0,348305.0,403112.0,464138.0,553986.0,648661.0,718609.0,822540.0,946918.0,1025381.0
Colombia,78513.0,87898.0,94215.0,99445.0,106487.0,113267.0,122277.0,132029.0,142240.0,152864.0
Comoros,322.0,372.0,411.0,440.0,475.0,504.0,525.0,550.0,598.0,617.0
Democratic Republic of the Congo,20274.0,22402.0,23678.0,24952.0,27105.0,28092.0,30010.0,31574.0,32839.0,33697.0
Republic of the Congo,3061.0,3438.0,3738.0,3978.0,4219.0,4455.0,4651.0,4877.0,6155.0,7757.0
Costa Rica,8195.0,8768.0,8631.0,9226.0,10326.0,10729.0,11551.0,12401.0,13279.0,14582.0
Ivory Coast,20664.0,23410.0,24906.0,25234.0,25622.0,27384.0,29276.0,29850.0,31255.0,33439.0
Croatia,,,,,,,,,,
Cyprus,3008.0,3393.0,3829.0,4190.0,4725.0,5106.0,5395.0,5923.0,6642.0,7461.0
Czech Republic,,,,,,,,,,
Denmark,60799.0,66113.0,72780.0,77592.0,83746.0,89854.0,96155.0,98783.0,102259.0,106951.0
Djibouti,,,,,,,,,,
Dominica,124.0,151.0,167.0,178.0,192.0,201.0,219.0,239.0,267.0,277.0
Dominican Republic,13730.0,15672.0,16923.0,18400.0,19303.0,19490.0,20583.0,23226.0,24563.0,26650.0
Ecuador,26044.0,29620.0,31828.0,32148.0,34707.0,37380.0,39312.0,37879.0,43327.0,45154.0
Egypt,88533.0,99039.0,112832.0,127657.0,142874.0,158336.0,169211.0,180805.0,194656.0,208343.0
El Salvador,10106.0,10429.0,10375.0,10947.0,11494.0,11930.0,12194.0,12809.0,13510.0,14175.0
Equatorial Guinea,89.0,104.0,112.0,123.0,128.0,150.0,149.0,159.0,169.0,174.0
Eritrea,,,,,,,,,,
Estonia,,,,,,,,,,
Eswatini,1010.0,1182.0,1273.0,1316.0,1397.0,1469.0,1777.0,2003.0,2231.0,2536.0
Ethiopia,10496.0,11489.0,12316.0,13803.0,13971.0,12768.0,14287.0,16672.0,17359.0,17957.0
Fiji,1709.0,1983.0,2082.0,2073.0,2364.0,2347.0,2552.0,2427.0,2600.0,3077.0
Finland,45540.0,50493.0,55268.0,59226.0,63335.0,67649.0,70892.0,75231.0,81943.0,89488.0
France,577983.0,639613.0,695400.0,732070.0,771208.0,808393.0,843227.0,886787.0,959978.0,1042227.0
Gabon,6630.0,6967.0,7701.0,8163.0,8872.0,9683.0,9671.0,8384.0,8983.0,10776.0
Gambia,724.0,717.0,919.0,1085.0,1038.0,1110.0,1159.0,1221.0,1286.0,1394.0
Georgia,,,,,,,,,,
Germany,855295.0,937245.0,987315.0,1041928.0,1110043.0,1170245.0,1222667.0,1271318.0,1365314.0,1474374.0
Ghana,12858.0,13546.0,13189.0,12853.0,14565.0,15992.0,17324.0,18935.0,20871.0,22674.0
Greece,84245.0,90780.0,95300.0,97964.0,103537.0,109495.0,112275.0,112455.0,121413.0,130967.0
Grenada,192.0,213.0,236.0,253.0,272.0,298.0,326.0,365.0,389.0,419.0
Guatemala,19183.0,21133.0,21644.0,21923.0,22830.0,23411.0,23906.0,25374.0,27291.0,29480.0
Guinea,2740.0,3018.0,3262.0,3434.0,3608.0,3908.0,4111.0,4351.0,4789.0,5176.0
Guinea-Bissau,439.0,478.0,529.0,531.0,581.0,625.0,631.0,683.0,721.0,771.0
Guyana,1885.0,2075.0,2008.0,1847.0,1954.0,2023.0,2059.0,2107.0,2051.0,2026.0
Haiti,10024.0,11088.0,11444.0,11714.0,12161.0,12641.0,12930.0,13193.0,13735.0,14112.0
Honduras,5113.0,5738.0,6008.0,6186.0,6688.0,7188.0,7386.0,8025.0,8691.0,9422.0
Hong Kong,36082.0,43126.0,47112.0,51902.0,59154.0,61461.0,69660.0,80945.0,90932.0,96650.0
Hungary,67745.0,76280.0,83295.0,87182.0,92730.0,95420.0,98835.0,105383.0,109028.0,114138.0
Iceland,2480.0,2830.0,3070.0,3122.0,3368.0,3589.0,3891.0,4327.0,4476.0,4664.0
India,371871.0,431502.0,474089.0,528563.0,568564.0,617360.0,659873.0,703008.0,797869.0,878470.0
Indonesia,189710.0,223449.0,242586.0,262655.0,292747.0,313799.0,343129.0,374724.0,415013.0,470468.0
Iran,246320.0,246549.0,296046.0,350020.0,326810.0,330184.0,306394.0,323298.0,302927.0,331190.0
Iraq,,,,,,,,,,
Ireland,25259.0,28344.0,30545.0,31509.0,33693.0,35435.0,36302.0,38554.0,41110.0,45121.0
Israel,27613.0,31653.0,34088.0,36339.0,38483.0,41467.0,43803.0,48249.0,51731.0,54522.0
Italy,614396.0,676266.0,719171.0,754246.0,805012.0,852233.0,892952.0,943103.0,1015697.0,1089857.0
Jamaica,6149.0,7028.0,7692.0,8325.0,8708.0,8902.0,9717.0,10724.0,10659.0,11598.0
Japan,1068091.0,1218353.0,1336487.0,1437751.0,1556708.0,1689973.0,1781351.0,1911765.0,2113466.0,2303045.0
Jordan,8355.0,10547.0,11785.0,12276.0,13430.0,13691.0,14731.0,15507.0,16388.0,15098.0
Kazakhstan,,,,,,,,,,
Kenya,17552.0,20001.0,22310.0,23553.0,24793.0,26619.0,29051.0,31499.0,34596.0,37590.0
Kiribati,54.0,59.0,63.0,64.0,67.0,66.0,68.0,70.0,80.0,80.0
South Korea,82705.0,97089.0,111684.0,131582.0,150716.0,167670.0,190420.0,219958.0,255012.0,283756.0
Kosovo,,,,,,,,,,
Kuwait,46029.0,40850.0,39252.0,42932.0,46812.0,46236.0,51207.0,56746.0,52844.0,69137.0
Kyrgyzstan,,,,,,,,,,
Laos,1734.0,2190.0,2435.0,2606.0,2874.0,3235.0,3459.0,3511.0,3558.0,4064.0
Latvia,,,,,,,,,,
Lebanon,16426.0,18079.0,12134.0,15473.0,23162.0,29701.0,28247.0,33788.0,25112.0,15085.0
Lesotho,621.0,701.0,785.0,840.0,908.0,968.0,1028.0,1076.0,1200.0,1316.0
Liberia,,,,,,,,,,
Libya,108353.0,94836.0,102224.0,101224.0,96167.0,99810.0,90260.0,78895.0,87867.0,97886.0
Lithuania,,,,,,,,,,
Luxembourg,5703.0,6292.0,6750.0,7147.0,7755.0,8448.0,9479.0,10097.0,11338.0,12937.0
Macau,,,,,,,,,,
Madagascar,8867.0,8755.0,9119.0,9562.0,10081.0,10520.0,10942.0,11345.0,12145.0,13135.0
Malawi,3298.0,3421.0,3723.0,4012.0,4380.0,4725.0,4810.0,5009.0,5350.0,5635.0
Malaysia,46347.0,54253.0,61028.0,67382.0,75233.0,76932.0,79385.0,85732.0,97576.0,110589.0
Maldives,243.0,287.0,327.0,355.0,432.0,507.0,561.0,626.0,705.0,801.0
Mali,3840.0,4012.0,3768.0,4042.0,4289.0,4568.0,4944.0,5192.0,5378.0,6187.0
Malta,1845.0,2074.0,2205.0,2351.0,2455.0,2593.0,2746.0,2974.0,3289.0,3661.0
Marshall Islands,,,,,,,,,,
Mauritania,,,,,,,,,,
Mauritius,1928.0,2235.0,2503.0,2611.0,2834.0,3125.0,3499.0,3950.0,4367.0,4740.0
Mexico,404343.0,480331.0,507355.0,508842.0,545189.0,574732.0,568252.0,592337.0,621094.0,671949.0
Federated States of Micronesia,,,,,,,,,,
Moldova,,,,,,,,,,
Mongolia,2955.0,3505.0,4032.0,4433.0,4864.0,5303.0,5920.0,6281.0,6837.0,7402.0
Montenegro,,,,,,,,,,
Morocco,28990.0,30855.0,35913.0,37111.0,40118.0,44004.0,48616.0,48551.0,55498.0,59039.0
Mozambique,2436.0,2800.0,2768.0,2424.0,2349.0,2447.0,2439.0,2867.0,3211.0,3554.0
Myanmar,,,,,,,,,,
Namibia,,,,,,,,,,
Nauru,,,,,,,,,,
Nepal,6725.0,7975.0,8788.0,8860.0,10069.0,11026.0,11761.0,12257.0,13666.0,14816.0
Netherlands,164978.0,179659.0,188313.0,199127.0,212748.0,225305.0,237026.0,247382.0,267848.0,290823.0
New Zealand,28526.0,32150.0,35119.0,36448.0,40354.0,42134.0,43761.0,45936.0,47820.0,49905.0
Nicaragua,6186.0,7134.0,7513.0,8167.0,8330.0,8242.0,8323.0,8468.0,7680.0,7846.0
Niger,4074.0,4452.0,4829.0,4825.0,4158.0,4620.0,5013.0,5141.0,5688.0,5968.0
Nigeria,,,,,,,,,,
North Macedonia,,,,,,,,,,
Norway,60566.0,67356.0,71686.0,77452.0,85105.0,92671.0,98359.0,102559.0,105904.0,111200.0
Oman,12166.0,15594.0,18461.0,22244.0,26251.0,31014.0,32317.0,31794.0,34642.0,37074.0
Pakistan,70171.0,81578.0,93168.0,103389.0,111376.0,124903.0,135526.0,146948.0,161921.0,176362.0
Palau,,,,,,,,,,
Panama,6997.0,8364.0,9355.0,9285.0,9881.0,10697.0,11302.0,11372.0,10198.0,10763.0
Papua New Guinea,3179.0,3520.0,3768.0,4050.0,4155.0,4440.0,4786.0,5039.0,5369.0,5500.0
Paraguay,11131.0,13301.0,13926.0,14031.0,14947.0,16016.0,16382.0,17471.0,19150.0,21059.0
Peru,53843.0,62156.0,65783.0,61982.0,66659.0,70204.0,80287.0,88639.0,83119.0,74785.0
Philippines,92074.0,104235.0,114681.0,121406.0,116576.0,111475.0,117605.0,125710.0,138930.0,153338.0
Poland,171568.0,169020.0,170766.0,187391.0,193443.0,207266.0,218828.0,229402.0,245293.0,264630.0
Portugal,59193.0,67076.0,72761.0,76345.0,78276.0,82073.0,86505.0,95410.0,104049.0,115319.0
Puerto Rico,22184.0,24543.0,25264.0,26377.0,29329.0,30879.0,34073.0,36632.0,40392.0,44050.0
Qatar,20834.0,21917.0,21361.0,21015.0,25254.0,22658.0,23971.0,24785.0,26865.0,29398.0
Romania,111193.0,121835.0,134408.0,148052.0,162599.0,167573.0,175049.0,180814.0,186254.0,182332.0
Russia,,,,,,,,,,
Rwanda,2108.0,2364.0,2448.0,2698.0,3157.0,3400.0,3660.0,3739.0,3882.0,3804.0
Samoa,192.0,191.0,201.0,210.0,222.0,242.0,259.0,267.0,284.0,312.0
San Marino,,,,,,,,,,
São Tomé and Príncipe,138.0,136.0,148.0,148.0,144.0,163.0,156.0,155.0,164.0,176.0
Saudi Arabia,418074.0,466519.0,392661.0,342542.0,338361.0,314871.0,375858.0,359609.0,421094.0,435406.0
Senegal,6037.0,6943.0,7951.0,7822.0,8408.0,8958.0,9423.0,10245.0,10543.0,11393.0
Serbia,,,,,,,,,,
Seychelles,277.0,292.0,303.0,313.0,339.0,385.0,396.0,426.0,464.0,532.0
Sierra Leone,2777.0,3096.0,3346.0,3422.0,3606.0,3469.0,3544.0,3718.0,3928.0,4285.0
Singapore,22879.0,27752.0,31560.0,35601.0,40130.0,41141.0,42533.0,48291.0,55625.0,63678.0
Slovakia,,,,,,,,,,
Slovenia,,,,,,,,,,
Solomon Islands,223.0,240.0,250.0,270.0,280.0,280.0,285.0,317.0,332.0,360.0
Somalia,,,,,,,,,,
South Africa,,,,,,,,,,
South Sudan,,,,,,,,,,
Spain,294435.0,320976.0,345030.0,364466.0,384033.0,405533.0,427895.0,463512.0,505215.0,551298.0
Sri Lanka,16339.0,18841.0,21051.0,22601.0,24991.0,27060.0,28786.0,29927.0,31818.0,33810.0
Saint Kitts and Nevis,130.0,146.0,165.0,168.0,190.0,209.0,232.0,257.0,294.0,324.0
Saint Lucia,285.0,328.0,356.0,385.0,430.0,500.0,583.0,621.0,733.0,830.0
Saint Vincent and the Grenadines,170.0,193.0,210.0,225.0,246.0,264.0,284.0,293.0,344.0,369.0
Sudan,20182.0,23487.0,25968.0,26577.0,25987.0,26641.0,29877.0,32595.0,35192.0,37093.0
Suriname,2187.0,2440.0,2427.0,2394.0,2406.0,2460.0,2449.0,2289.0,2625.0,2791.0
Sweden,87604.0,100245.0,107926.0,114461.0,123748.0,130630.0,137220.0,145258.0,154090.0,164389.0
Switzerland,114300.0,127127.0,133040.0,139034.0,148680.0,159157.0,165274.0,171996.0,183700.0,199431.0
Syria,18922.0,22465.0,24469.0,25835.0,25028.0,27704.0,26917.0,27928.0,32591.0,31814.0
Taiwan,61570.0,72180.0,80326.0,91004.0,103763.0,112190.0,127624.0,147456.0,164905.0,186319.0
Tajikistan,,,,,,,,,,
Tanzania,10461.0,11508.0,12293.0,13081.0,14014.0,15122.0,16444.0,17845.0,19288.0,20806.0
Thailand,74669.0,86563.0,96832.0,106240.0,116415.0,125671.0,135296.0,151840.0,178083.0,207632.0
Timor-Leste,,,,,,,,,,
Togo,2714.0,2869.0,2933.0,2891.0,3172.0,3394.0,3575.0,3572.0,4073.0,4406.0
Tonga,67.0,83.0,100.0,110.0,164.0,178.0,198.0,206.0,206.0,216.0
Trinidad and Tobago,7566.0,8661.0,9545.0,8897.0,8688.0,8594.0,8479.0,8293.0,8249.0,8501.0
Tunisia,13755.0,15887.0,16788.0,18260.0,20004.0,21806.0,21922.0,23969.0,24832.0,26472.0
Turkey,159188.0,181854.0,199712.0,217406.0,240621.0,258800.0,282337.0,318331.0,336546.0,350629.0
Turkmenistan,,,,,,,,,,
Tuvalu,,,,,,,,,,
Uganda,5919.0,6729.0,7731.0,8427.0,8469.0,8475.0,8727.0,9301.0,10428.0,11530.0
Ukraine,,,,,,,,,,
United Arab Emirates,89965.0,106378.0,104832.0,103218.0,111703.0,112329.0,92511.0,99827.0,100636.0,121036.0
United Kingdom,494408.0,537436.0,581894.0,630058.0,667441.0,716938.0,754414.0,814761.0,891842.0,950707.0
United States,2857325.0,3207025.0,3343800.0,3634025.0,4037650.0,4339000.0,4579625.0,4855250.0,5236425.0,5641600.0
Uruguay,13570.0,15136.0,14570.0,14644.0,15007.0,15710.0,17445.0,19295.0,20268.0,21296.0
Uzbekistan,,,,,,,,,,
Vanuatu,109.0,124.0,134.0,144.0,163.0,170.0,173.0,172.0,175.0,185.0
Venezuela,118828.0,128394.0,139933.0,131082.0,142906.0,148703.0,160920.0,172818.0,190559.0,170467.0
Vietnam,29158.0,33767.0,38776.0,43152.0,48464.0,52806.0,55678.0,58509.0,63662.0,71319.0
Palestine,,,,,,,,,,
Yemen,,,,,,,,,,
Zambia,7806.0,9111.0,9392.0,9648.0,9825.0,10261.0,10645.0,11071.0,12524.0,12539.0
Zimbabwe,,,,,,,,,,
