Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hong Kong,36082.0,43126.0,47112.0,51902.0,59154.0,61461.0,69660.0,80945.0,90932.0,96650.0,104107.0,113765.0,123613.0,134389.0,145545.0,152124.0,161506.0,172670.0,164341.0,170835.0,188093.0,193410.0,199678.0,209842.0,234222.0,259414.0,286226.0,312965.0,325754.0,319779.0,345525.0,369685,373483,385448,396044,411294,419811,442388,465849,466217
Hungary,67745.0,76280.0,83295.0,87182.0,92730.0,95420.0,98835.0,105383.0,109028.0,114138.0,114269.0,104085.0,103195.0,105032.0,110437.0,115618.0,117832.0,123631.0,129899.0,135774.0,145070.0,154382.0,164221.0,174303.0,187614.0,201708.0,216314.0,222698.0,229371.0,215375.0,220410.0,229348,230214,242367,253001,263642,273898,291996,315114,335639
Iceland,2480.0,2830.0,3070.0,3122.0,3368.0,3589.0,3891.0,4327.0,4476.0,4664.0,4895.0,5049.0,4990.0,5175.0,5476.0,5598.0,5961.0,6413.0,6963.0,7345.0,7886.0,8387.0,8566.0,8922.0,9876.0,10810.0,11847.0,13196.0,13747.0,12774.0,12562.0,13059,13472,14378,15059,16281,17938,19267,20693,21576
India,371871.0,431502.0,474089.0,528563.0,568564.0,617360.0,659873.0,703008.0,797869.0,878470.0,961777.0,1004812.0,1084054.0,1162464.0,1266355.0,1390841.0,1523236.0,1612250.0,1731227.0,1904198.0,2024745.0,2172728.0,2292813.0,2523801.0,2794959.0,3150250.0,3548305.0,4001378.0,4236785.0,4625515.0,5161394.0,5618382,6153153,6477517,6781022,7159796,7735002,8276933,9028307,9561228
Indonesia,189710.0,223449.0,242586.0,262655.0,292747.0,313799.0,343129.0,374724.0,415013.0,470468.0,532011.0,599111.0,652732.0,721363.0,792324.0,875433.0,961158.0,1023683.0,899317.0,919204.0,986830.0,1045827.0,1109917.0,1185929.0,1279028.0,1394231.0,1516315.0,1656103.0,1813468.0,1910902.0,2057206.0,2229512,2413435,2535041,2622252,2647707,2744897,2894126,3116589,3331536
Iran,246320.0,246549.0,296046.0,350020.0,326810.0,330184.0,306394.0,323298.0,302927.0,331190.0,405705.0,464615.0,485218.0,502959.0,506051.0,521946.0,564538.0,571115.0,588575.0,598710.0,654318.0,674452.0,755196.0,841148.0,901487.0,959415.0,1038468.0,1153516.0,1178586.0,1198089.0,1282789.0,1344086,1204869,1168173,1180245,1066589,1114815,1172665,1128326,1070593
Iraq,,,,,,,,,,,,,,,,,,,79244.0,100251.0,98072.0,93694.0,87735.0,162639.0,256161.0,268620.0,292521.0,306100.0,337640.0,351286.0,378271.0,415269,483559,515106,490962,369519,346956,405430,434638,468122
Ireland,25259.0,28344.0,30545.0,31509.0,33693.0,35435.0,36302.0,38554.0,41110.0,45121.0,50418.0,52979.0,56126.0,58786.0,63580.0,71141.0,79030.0,89032.0,97920.0,109749.0,122784.0,132210.0,142188.0,149358.0,163775.0,178600.0,193280.0,209036.0,203486.0,194345.0,200132.0,206473,213241,221160,238003,324658,339965,375332,419001,447468
Israel,27613.0,31653.0,34088.0,36339.0,38483.0,41467.0,43803.0,48249.0,51731.0,54522.0,60314.0,65233.0,71494.0,75948.0,83009.0,92931.0,100335.0,106071.0,111768.0,117389.0,130723.0,133806.0,135626.0,139892.0,150708.0,161898.0,176535.0,192369.0,202840.0,206474.0,220833.0,237916,251921,276637,282342,297227,323490,341474,363558,384027
Italy,614396.0,676266.0,719171.0,754246.0,805012.0,852233.0,892952.0,943103.0,1015697.0,1089857.0,1153057.0,1209208.0,1245704.0,1264579.0,1318382.0,1382137.0,1425275.0,1476385.0,1520035.0,1566513.0,1662671.0,1733306.0,1764791.0,1802118.0,1876837.0,1951525.0,2047765.0,2134379.0,2154383.0,2053690.0,2113984.0,2173170,2172382,2187375,2200257,2241524,2420428,2529502,2614318,2668735
Jamaica,6149.0,7028.0,7692.0,8325.0,8708.0,8902.0,9717.0,10724.0,10659.0,11598.0,12618.0,13154.0,13827.0,14468.0,15054.0,15757.0,16083.0,16092.0,16077.0,16463.0,16967.0,17571.0,17965.0,18992.0,19760.0,20561.0,21810.0,22723.0,22970.0,22328.0,22272.0,23059,23269,24136,24568,25418,26720,28040,29235,30047
Japan,1068091.0,1218353.0,1336487.0,1437751.0,1556708.0,1689973.0,1781351.0,1911765.0,2113466.0,2303045.0,2506131.0,2679432.0,2763735.0,2814583.0,2899875.0,3038574.0,3191182.0,3278059.0,3272846.0,3307878.0,3476344.0,3568390.0,3625525.0,3753838.0,3938870.0,4135674.0,4321794.0,4504455.0,4534630.0,4303871.0,4534092.0,4629401,4799614,5021591,5034456,5200905,5159726,5248419,5403826,5501303
Jordan,8355.0,10547.0,11785.0,12276.0,13430.0,13691.0,14731.0,15507.0,16388.0,15098.0,15830.0,16764.0,19423.0,20507.0,22002.0,23910.0,24510.0,25998.0,27151.0,28311.0,30188.0,32365.0,35171.0,37269.0,41376.0,46265.0,51927.0,57595.0,62776.0,66352.0,68704.0,72051,74340,79417,81884,87705,90249,97892,102169,106030
Kazakhstan,,,,,,,,,,,,,120338.0,111856.0,99874.0,93606.0,95797.0,99106.0,98317.0,102394.0,114976.0,133438.0,148798.0,165846.0,186647.0,211173.0,240981.0,269521.0,283754.0,288999.0,313824.0,344049,369966,417452,427478,407416,423833,448473,478013,508459
Kenya,17552.0,20001.0,22310.0,23553.0,24793.0,26619.0,29051.0,31499.0,34596.0,37590.0,40609.0,42544.0,43044.0,44022.0,46101.0,49085.0,52057.0,53173.0,55375.0,57390.0,58894.0,62617.0,63899.0,67082.0,72075.0,78546.0,85710.0,94057.0,96083.0,99897.0,109592.0,117598,125523,141004,156802,176338,192816,211109,228319,243980
Kiribati,54.0,59.0,63.0,64.0,67.0,66.0,68.0,70.0,80.0,80.0,82.0,85.0,88.0,91.0,95.0,96.0,99.0,103.0,111.0,111.0,120.0,121.0,128.0,133.0,134.0,145.0,150.0,157.0,157.0,159.0,159.0,165,176,187,189,211,224,230,245,259
South Korea,82705.0,97089.0,111684.0,131582.0,150716.0,167670.0,190420.0,219958.0,255012.0,283756.0,323453.0,370433.0,402360.0,440224.0,491301.0,549830.0,604078.0,652411.0,625913.0,707517.0,789105.0,846037.0,925599.0,973574.0,1051667.0,1131379.0,1227687.0,1333989.0,1400534.0,1420683.0,1535597.0,1625275,1684563,1726903,1792600,1933849,2026536,2105893,2218889,2309266
Kosovo,,,,,,,,,,,,,,,,,,,,,7579.0,8122.0,8357.0,8989.0,9605.0,10282.0,10980.0,12218.0,12679.0,13219.0,13820.0,14725,15320,16009,16393,17125,17886,18860,20047,21413
Kuwait,46029.0,40850.0,39252.0,42932.0,46812.0,46236.0,51207.0,56746.0,52844.0,69137.0,52912.0,32269.0,60336.0,83465.0,92593.0,96112.0,98457.0,102652.0,107600.0,107165.0,114734.0,117564.0,122995.0,147167.0,167381.0,190024.0,210619.0,229271.0,239462.0,223944.0,221263.0,247607,276884,275264,258671,181157,176815,206275,216343,218998
Kyrgyzstan,,,,,,,,,,,,,9142.0,8142.0,6668.0,6439.0,7021.0,7851.0,8107.0,8522.0,9190.0,9897.0,10049.0,10968.0,12054.0,12410.0,13190.0,14704.0,16120.0,16691.0,16812.0,18184,20288,23124,24987,25107,28459,31280,33136,35280
Laos,1734.0,2190.0,2435.0,2606.0,2874.0,3235.0,3459.0,3511.0,3558.0,4064.0,4498.0,4836.0,5292.0,5735.0,6336.0,6925.0,7537.0,8197.0,8644.0,9119.0,9925.0,10633.0,11534.0,12488.0,13745.0,15160.0,17027.0,18860.0,20725.0,22396.0,24482.0,26987,31202,34600,39000,41583,46850,50445,54899,58480
Latvia,,,,,,,,,,,,,15926.0,14445.0,15078.0,15074.0,15744.0,17435.0,18749.0,19534.0,21110.0,22951.0,24959.0,27598.0,30749.0,35114.0,40536.0,45806.0,45131.0,38944.0,37675.0,40946,43550,45914,47459,49375,52334,55672,59296,61580
Lebanon,16426.0,18079.0,12134.0,15473.0,23162.0,29701.0,28247.0,33788.0,25112.0,15085.0,13549.0,19358.0,20689.0,22662.0,25005.0,27187.0,28803.0,32285.0,33921.0,34124.0,35281.0,37483.0,39362.0,40821.0,45060.0,46799.0,48990.0,54999.0,61137.0,67825.0,74114.0,76310,82065,88558,94099,98682,104309,109403,110157,103960
Lesotho,621.0,701.0,785.0,840.0,908.0,968.0,1028.0,1076.0,1200.0,1316.0,1436.0,1555.0,1690.0,1796.0,1917.0,2012.0,2150.0,2263.0,2320.0,2390.0,2564.0,2708.0,2794.0,2965.0,3117.0,3315.0,3568.0,3848.0,4069.0,4110.0,4372.0,4688,4795,5407,5926,6402,6225,5563,5638,5650
Liberia,,,,,,,,,,,,,,,,,,,,,2590.0,2721.0,2886.0,2090.0,2232.0,2437.0,2725.0,3165.0,3423.0,3624.0,3900.0,4288,4773,5647,5922,5624,6283,7203,7467,7409
Libya,108353.0,94836.0,102224.0,101224.0,96167.0,99810.0,90260.0,78895.0,87867.0,97886.0,105327.0,125937.0,125313.0,123455.0,128532.0,114959.0,120146.0,121476.0,122379.0,124678.0,132196.0,132790.0,133566.0,153931.0,165115.0,190507.0,209152.0,228452.0,190641.0,186129.0,194350.0,66148,148702,99491,53661,48497,51056,69056,83347,96026
Lithuania,,,,,,,,,,,,,,,,24879.0,26662.0,29376.0,31927.0,32007.0,33942.0,36972.0,40083.0,45193.0,49455.0,54950.0,60845.0,69430.0,72612.0,62233.0,64021.0,69298,73809,79034,82647,83784,88692,95675,101817,108135
Luxembourg,5703.0,6292.0,6750.0,7147.0,7755.0,8448.0,9479.0,10097.0,11338.0,12937.0,14135.0,15876.0,16533.0,17636.0,18701.0,19367.0,20020.0,21575.0,23234.0,25545.0,28329.0,29701.0,31316.0,32454.0,34529.0,36742.0,39837.0,44332.0,44604.0,42933.0,45563.0,47691,48646,51940,56354,59097,64400,67280,71031,73963
Macau,,,,,,,,,,,,,,,,,,,,,,15714.0,17381.0,19788.0,25730.0,28680.0,33524.0,39414.0,41532.0,42331.0,53602.0,66543,75588,88663,90217,70042,70432,78559,85637,84877
Madagascar,8867.0,8755.0,9119.0,9562.0,10081.0,10520.0,10942.0,11345.0,12145.0,13135.0,14053.0,13612.0,14087.0,14724.0,15032.0,15605.0,16233.0,17123.0,17994.0,19105.0,20408.0,22116.0,19674.0,22025.0,23805.0,25719.0,27944.0,30338.0,32996.0,31886.0,32469.0,33667,34211,35257,36702,37486,39997,40515,42807,45495
Malawi,3298.0,3421.0,3723.0,4012.0,4380.0,4725.0,4810.0,5009.0,5350.0,5635.0,6179.0,6945.0,6583.0,7392.0,6771.0,7869.0,8813.0,9555.0,9765.0,10254.0,10567.0,10365.0,10712.0,11546.0,12499.0,13312.0,14368.0,16173.0,17743.0,19343.0,20922.0,22393,22415,24722,24747,24133,25100,26013,27804,29844
Malaysia,46347.0,54253.0,61028.0,67382.0,75233.0,76932.0,79385.0,85732.0,97576.0,110589.0,125061.0,141635.0,157735.0,177453.0,197938.0,221953.0,248624.0,271442.0,254298.0,273692.0,304161.0,312623.0,334612.0,360969.0,395799.0,428524.0,466415.0,509194.0,544035.0,539233.0,586796.0,630696,677647,701700,745387,750777,783874,829297,890231,946385
Maldives,243.0,287.0,327.0,355.0,432.0,507.0,561.0,626.0,705.0,801.0,797.0,881.0,959.0,1035.0,1137.0,1246.0,1384.0,1554.0,1726.0,1877.0,2011.0,2127.0,2292.0,2931.0,3191.0,2859.0,3717.0,4111.0,4588.0,4283.0,4650.0,5153,5438,6140,6957,7628,8279,8964,9924,10808
Mali,3840.0,4012.0,3768.0,4042.0,4289.0,4568.0,4944.0,5192.0,5378.0,6187.0,7016.0,7810.0,7863.0,8336.0,8838.0,9294.0,10153.0,10823.0,11265.0,12138.0,12405.0,14635.0,15325.0,17052.0,17783.0,19539.0,21081.0,22408.0,23927.0,25208.0,26892.0,28340,28185,29823,32435,35447,39327,41593,44608,47569
Malta,1845.0,2074.0,2205.0,2351.0,2455.0,2593.0,2746.0,2974.0,3289.0,3661.0,3974.0,4351.0,4810.0,5118.0,5468.0,5966.0,6318.0,6739.0,7046.0,7416.0,7508.0,7587.0,7903.0,8388.0,8625.0,9196.0,9718.0,10457.0,11066.0,11010.0,11760.0,12061,12703,13757,14924,16674,18122,20692,22488,24203
Marshall Islands,,,,,,,,,,,,,,,,,,103.0,104.0,104.0,108.0,118.0,124.0,125.0,128.0,135.0,139.0,147.0,140.0,145.0,157.0,159,158,167,169,173,177,187,197,214
Mauritania,,,,,,,,,,,5495.0,5681.0,5914.0,6409.0,6346.0,7115.0,7667.0,7484.0,7778.0,8496.0,8348.0,8468.0,8719.0,9507.0,10224.0,11448.0,13965.0,14060.0,14282.0,14388.0,14942.0,15889,16420,18036,16883,16995,19569,21878,23415,25215
Mauritius,1928.0,2235.0,2503.0,2611.0,2834.0,3125.0,3499.0,3950.0,4367.0,4740.0,5271.0,5691.0,6200.0,6670.0,7094.0,7553.0,8121.0,8731.0,9365.0,9745.0,10782.0,11380.0,11745.0,12694.0,13595.0,14225.0,15326.0,16641.0,17874.0,18585.0,19632.0,20857,21304,22487,23312,24280,26155,27082,28771,30169
Mexico,404343.0,480331.0,507355.0,508842.0,545189.0,574732.0,568252.0,592337.0,621094.0,671949.0,733175.0,789918.0,836529.0,879797.0,942990.0,902193.0,980940.0,1066175.0,1133852.0,1181490.0,1267975.0,1291299.0,1310902.0,1356110.0,1447108.0,1526933.0,1644803.0,1727961.0,1781237.0,1697898.0,1806252.0,1911319,2012768,2064491,2173228,2230644,2383390,2472586,2587222,2628855
Federated States of Micronesia,,,,,,,,,,,,,,,,217.0,215.0,205.0,213.0,219.0,235.0,246.0,251.0,260.0,259.0,272.0,280.0,282.0,281.0,286.0,296.0,312,312,306,304,321,327,343,352,362
Moldova,,,,,,,,,,,,,13089.0,13238.0,9343.0,9403.0,9010.0,9312.0,8805.0,8625.0,9006.0,9771.0,10697.0,11628.0,12824.0,14218.0,15360.0,16248.0,17851.0,16888.0,18304.0,19772,21055,23961,25218,26233,29732,32101,34281,36186
Mongolia,2955.0,3505.0,4032.0,4433.0,4864.0,5303.0,5920.0,6281.0,6837.0,7402.0,7489.0,7030.0,6524.0,6467.0,6746.0,7327.0,7628.0,8062.0,8425.0,8806.0,9109.0,9746.0,10419.0,11407.0,12817.0,14079.0,15698.0,17534.0,19267.0,18990.0,20623.0,24692,28890,30402,32507,32285,32833,35222,38677,41400
Montenegro,,,,,,,,,,,,,,,,,,,,,5002.0,5171.0,5351.0,5594.0,5996.0,6444.0,7214.0,7913.0,8646.0,8196.0,8519.0,8974,8604,9237,9558,10164,11324,12263,13194,13976
Morocco,28990.0,30855.0,35913.0,37111.0,40118.0,44004.0,48616.0,48551.0,55498.0,59039.0,63719.0,70628.0,70722.0,71862.0,81168.0,78391.0,89703.0,89825.0,97412.0,99853.0,104068.0,114202.0,119602.0,129233.0,139068.0,148151.0,164290.0,174689.0,188585.0,197848.0,207866.0,223316,226124,236670,229402,247207,253685,264213,279042,291441
Mozambique,2436.0,2800.0,2768.0,2424.0,2349.0,2447.0,2439.0,2867.0,3211.0,3554.0,3724.0,4102.0,3938.0,4459.0,4852.0,5066.0,5736.0,6495.0,7220.0,8178.0,8462.0,9699.0,10765.0,11733.0,13001.0,14300.0,16170.0,17891.0,19569.0,20938.0,22568.0,24745,25746,27733,29941,34918,37951,36776,38951,40565
Myanmar,,,,,,,,,,,,,,,,,,,35372.0,38895.0,44715.0,51423.0,57409.0,66268.0,78470.0,91911.0,107354.0,124038.0,135972.0,142844.0,152146.0,163804,184501,198338,209644,216278,213835,225517,245693,266971
Namibia,,,,,,,,,,,5485.0,5973.0,6676.0,6723.0,7073.0,7519.0,7901.0,8376.0,8749.0,9171.0,9707.0,10163.0,11011.0,11619.0,12722.0,13734.0,14717.0,15665.0,16389.0,16543.0,17753.0,19044,20502,21744,23796,24615,24588,24438,25299,25596
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,35.0,36.0,40.0,32.0,40.0,43.0,49.0,55,62,83,107,112,116,112,121,125
Nepal,6725.0,7975.0,8788.0,8860.0,10069.0,11026.0,11761.0,12257.0,13666.0,14816.0,16083.0,17686.0,18832.0,20020.0,22128.0,23376.0,25074.0,26848.0,27949.0,29614.0,32137.0,34711.0,35294.0,37411.0,40214.0,42918.0,45730.0,48569.0,52522.0,55255.0,58612.0,61877,67618,72735,79300,80943,81509,98516,108558,117856
Netherlands,164978.0,179659.0,188313.0,199127.0,212748.0,225305.0,237026.0,247382.0,267848.0,290823.0,314312.0,332908.0,345905.0,358579.0,377257.0,395848.0,417182.0,442741.0,468626.0,499144.0,531888.0,556532.0,566430.0,578520.0,605831.0,637618.0,680046.0,724769.0,754712.0,731693.0,750418.0,777881,792042,827476,830319,852113,890399,948182,993753,1031310
New Zealand,28526.0,32150.0,35119.0,36448.0,40354.0,42134.0,43761.0,45936.0,47820.0,49905.0,51784.0,52829.0,54411.0,58613.0,63206.0,67690.0,71735.0,74765.0,75838.0,80412.0,85732.0,89909.0,95622.0,101650.0,109352.0,116343.0,123440.0,131146.0,133417.0,132657.0,136612.0,142016,144378,157752,167201,170546,185199,197299,208915,217801
Nicaragua,6186.0,7134.0,7513.0,8167.0,8330.0,8242.0,8323.0,8468.0,7680.0,7846.0,8129.0,8390.0,8616.0,8785.0,9421.0,10187.0,11032.0,11667.0,12237.0,13282.0,14140.0,14887.0,15233.0,15925.0,17221.0,18522.0,19820.0,21389.0,22548.0,21945.0,23189.0,25166,26490,27950,30356,32945,35895,38335,37930,37190
Niger,4074.0,4452.0,4829.0,4825.0,4158.0,4620.0,5013.0,5141.0,5688.0,5968.0,6110.0,6289.0,6561.0,6739.0,7010.0,7333.0,7475.0,7720.0,8585.0,8687.0,8776.0,9626.0,10257.0,10688.0,11015.0,12194.0,13316.0,14105.0,15487.0,15893.0,17464.0,18247,20574,20822,21910,22907,23871,25137,27592,29745
Nigeria,,,,,,,,,,,173963.0,178853.0,186942.0,194375.0,199036.0,207014.0,219347.0,229568.0,237945.0,242557.0,261742.0,285481.0,332274.0,371029.0,420772.0,464382.0,510909.0,563115.0,615232.0,670896.0,755404.0,808786,836150,897506,971492,982912,973442,990700,1033870,1075606
North Macedonia,,,,,,,,,,,,,11570.0,10956.0,10989.0,11096.0,11435.0,11789.0,12325.0,13042.0,13943.0,13819.0,14244.0,14848.0,15960.0,17238.0,18683.0,20429.0,21961.0,22022.0,23035.0,24064,24559,26270,27776,28760,31370,32458,34191,35907
Norway,60566.0,67356.0,71686.0,77452.0,85105.0,92671.0,98359.0,102559.0,105904.0,111200.0,117591.0,125318.0,132755.0,139768.0,149970.0,159478.0,170563.0,182673.0,189577.0,196118.0,206989.0,216044.0,222584.0,229043.0,244527.0,258817.0,273206.0,288991.0,295936.0,292689.0,298286.0,307472,327988,340138,338506,313315,308491,332135,343874,353008
Oman,12166.0,15594.0,18461.0,22244.0,26251.0,31014.0,32317.0,31794.0,34642.0,37074.0,41684.0,45698.0,50709.0,55100.0,58441.0,62549.0,65535.0,70783.0,73515.0,74799.0,81503.0,87075.0,87459.0,86807.0,90288.0,95438.0,103669.0,111211.0,122639.0,130968.0,135135.0,141481,155907,158880,156303,133780,129565,135696,140215,141546
Pakistan,70171.0,81578.0,93168.0,103389.0,111376.0,124903.0,135526.0,146948.0,161921.0,176362.0,191358.0,207972.0,228811.0,239147.0,254926.0,273446.0,296828.0,307088.0,321394.0,339553.0,360816.0,376203.0,393956.0,420716.0,464336.0,521799.0,569196.0,616944.0,660139.0,666766.0,692193.0,732180,752629,784863,827826,872097,898016,950382,1026937,1067019
Palau,,,,,,,,,,,,,,,,,,,,,160.0,176.0,187.0,183.0,196.0,209.0,214.0,223.0,215.0,201.0,202.0,216,222,223,238,264,268,264,277,280
Panama,6997.0,8364.0,9355.0,9285.0,9881.0,10697.0,11302.0,11372.0,10198.0,10763.0,12070.0,13653.0,15110.0,16312.0,17135.0,17801.0,19463.0,21082.0,22882.0,24105.0,25326.0,26041.0,27041.0,28740.0,31727.0,35072.0,39242.0,45184.0,50589.0,51546.0,55206.0,62728,70434,79815,89330,100479,112346,125038,132631,139108
Papua New Guinea,3179.0,3520.0,3768.0,4050.0,4155.0,4440.0,4786.0,5039.0,5369.0,5500.0,5527.0,6261.0,7289.0,8457.0,9543.0,9408.0,10212.0,9729.0,10299.0,10638.0,10608.0,10834.0,10985.0,12215.0,12616.0,13565.0,14338.0,15876.0,16133.0,17340.0,19326.0,19946,21265,22465,25985,27971,29803,31442,32103,34592
Paraguay,11131.0,13301.0,13926.0,14031.0,14947.0,16016.0,16382.0,17471.0,19150.0,21059.0,22747.0,24337.0,25314.0,27193.0,29251.0,31902.0,32998.0,34991.0,35409.0,35417.0,35381.0,35877.0,36428.0,38752.0,41407.0,43616.0,47124.0,51021.0,55377.0,55587.0,62497.0,66530,64335,72020,75594,76830,81617,86460,91362,92623
Peru,53843.0,62156.0,65783.0,61982.0,66659.0,70204.0,80287.0,88639.0,83119.0,74785.0,73635.0,77814.0,79158.0,85283.0,97826.0,107279.0,112302.0,121636.0,122524.0,126108.0,132440.0,136260.0,145931.0,155008.0,167063.0,183130.0,202994.0,226239.0,251621.0,256009.0,280674.0,304634,318033,337900,348886,355377,376168,399121,424907,441808
Philippines,92074.0,104235.0,114681.0,121406.0,116576.0,111475.0,117605.0,125710.0,138930.0,153338.0,163907.0,168711.0,173277.0,181254.0,193222.0,206398.0,222494.0,238069.0,239511.0,251014.0,267951.0,282342.0,297398.0,318695.0,348748.0,377462.0,409796.0,448308.0,476755.0,486760.0,528741.0,560551,612131,654004,699662,733864,798601,854095,929955,1004508
Poland,171568.0,169020.0,170766.0,187391.0,193443.0,207266.0,218828.0,229402.0,245293.0,264630.0,254847.0,245009.0,255686.0,272968.0,293405.0,319711.0,345877.0,376774.0,399996.0,423984.0,452059.0,467815.0,481964.0,508671.0,548352.0,585380.0,640441.0,704195.0,747842.0,773952.0,812553.0,868897,903837,934553,968368,1020667,1075284,1145324,1235465,1317238
Portugal,59193.0,67076.0,72761.0,76345.0,78276.0,82073.0,86505.0,95410.0,104049.0,115319.0,129037.0,137896.0,145453.0,147877.0,153285.0,160110.0,168755.0,179220.0,189951.0,200152.0,212498.0,221509.0,226696.0,229019.0,239373.0,248810.0,260655.0,274409.0,280564.0,273547.0,281646.0,282621,277992,292135,298952,307312,326331,340796,358879,375100
Puerto Rico,22184.0,24543.0,25264.0,26377.0,29329.0,30879.0,34073.0,36632.0,40392.0,44050.0,47426.0,50160.0,53645.0,57467.0,61151.0,65274.0,68007.0,72555.0,78154.0,82753.0,87397.0,97827.0,101508.0,105935.0,110940.0,112145.0,113976.0,115696.0,115740.0,114207.0,115102.0,117073,118421,119192,119065,118146,117009,114270,112142,115845
Qatar,20834.0,21917.0,21361.0,21015.0,25254.0,22658.0,23971.0,24785.0,26865.0,29398.0,26032.0,26502.0,29932.0,30368.0,31615.0,32394.0,34383.0,44680.0,49815.0,52420.0,57331.0,61261.0,66492.0,70507.0,86319.0,95963.0,126704.0,153799.0,184170.0,209562.0,249716.0,283716,311041,322985,317406,238529,220585,249963,259095,265773
Romania,111193.0,121835.0,134408.0,148052.0,162599.0,167573.0,175049.0,180814.0,186254.0,182332.0,178539.0,160717.0,149970.0,155869.0,165458.0,180986.0,191577.0,183084.0,176225.0,176653.0,185932.0,200041.0,214745.0,224110.0,254124.0,274328.0,305498.0,336451.0,374818.0,356407.0,346620.0,360566,378487,395318,411273,428249,478155,534707,571977,606240
Russia,,,,,,,,,,,,,1602609.0,1497860.0,1335563.0,1307660.0,1283560.0,1323738.0,1267082.0,1366548.0,1537897.0,1652594.0,1757977.0,1924417.0,2117874.0,2323559.0,2590557.0,2887648.0,3097461.0,2873513.0,3039017.0,3259319,3480299,3741783,3763535,3526236,3538582,3818781,4019767,4174861
Rwanda,2108.0,2364.0,2448.0,2698.0,3157.0,3400.0,3660.0,3739.0,3882.0,3804.0,3963.0,3921.0,4275.0,3922.0,2328.0,2960.0,3364.0,3932.0,4307.0,4513.0,5001.0,5548.0,6377.0,6648.0,7334.0,8273.0,9314.0,10298.0,11666.0,12473.0,13549.0,14932,15707,16686,18915,20516,21966,23665,26308,29315
Samoa,192.0,191.0,201.0,210.0,222.0,242.0,259.0,267.0,284.0,312.0,303.0,306.0,326.0,339.0,368.0,401.0,438.0,449.0,459.0,462.0,497.0,546.0,585.0,628.0,665.0,731.0,770.0,795.0,839.0,839.0,871.0,926,905,917,935,985,1075,1107,1110,1170
San Marino,,,,,,,,,,,,,,,,,,1149.0,1249.0,1380.0,1443.0,1557.0,1586.0,1681.0,1805.0,1906.0,2040.0,2244.0,2279.0,2061.0,1965.0,1834,1748,1740,1825,1850,1925,1982,2061,2147
São Tomé and Príncipe,138.0,136.0,148.0,148.0,144.0,163.0,156.0,155.0,164.0,176.0,179.0,187.0,192.0,199.0,208.0,217.0,224.0,230.0,238.0,248.0,254.0,266.0,277.0,301.0,321.0,355.0,399.0,423.0,466.0,481.0,519.0,553,557,638,747,765,790,811,855,890
Saudi Arabia,418074.0,466519.0,392661.0,342542.0,338361.0,314871.0,375858.0,359609.0,421094.0,435406.0,520329.0,618658.0,657989.0,664397.0,682380.0,698165.0,729701.0,750476.0,780881.0,762083.0,823191.0,831545.0,820697.0,930980.0,1032051.0,1123745.0,1190721.0,1245489.0,1348705.0,1329398.0,1413177.0,1586748,1672472,1680158,1722862,1541833,1475670,1565892,1642326,1677246
Senegal,6037.0,6943.0,7951.0,7822.0,8408.0,8958.0,9423.0,10245.0,10543.0,11393.0,11739.0,12446.0,12888.0,13366.0,13621.0,14754.0,15305.0,15992.0,17138.0,18419.0,19568.0,20871.0,21211.0,22840.0,24542.0,26403.0,27852.0,29413.0,31087.0,32147.0,33637.0,34794,36714,37797,40124,43318,46119,49402,53723,57092
Serbia,,,,,,,,,,,,,,,,,,,,,47453.0,50944.0,55420.0,59009.0,66075.0,75067.0,81336.0,88913.0,95743.0,93724.0,95544.0,99515,100380,104877,104603,105951,111920,116697,124856,132489
Seychelles,277.0,292.0,303.0,313.0,339.0,385.0,396.0,426.0,464.0,532.0,593.0,630.0,691.0,759.0,756.0,776.0,869.0,991.0,1027.0,1061.0,1132.0,1131.0,1162.0,1115.0,1113.0,1251.0,1411.0,1600.0,1596.0,1588.0,1703.0,1832,1904,2012,2183,2248,2430,2617,2716,2817
Sierra Leone,2777.0,3096.0,3346.0,3422.0,3606.0,3469.0,3544.0,3718.0,3928.0,4285.0,4517.0,4296.0,3970.0,4067.0,4299.0,3949.0,3024.0,2535.0,2542.0,2369.0,2515.0,3039.0,3901.0,4349.0,4761.0,5131.0,5513.0,6118.0,6572.0,6825.0,7277.0,7897,9434,11988,12544,11469,12300,12234,12960,13919
Singapore,22879.0,27752.0,31560.0,35601.0,40130.0,41141.0,42533.0,48291.0,55625.0,63678.0,72549.0,80019.0,87277.0,99587.0,113002.0,123679.0,135354.0,149143.0,147511.0,158152.0,176354.0,178400.0,188273.0,200697.0,226321.0,250596.0,281591.0,315293.0,327343.0,329839.0,382291.0,414967,435965,448140,461772,481405,501388,535131,567077,584987
Slovakia,,,,,,,,,,,,,,43952.0,47677.0,52509.0,57181.0,60753.0,63941.0,64773.0,67013.0,70752.0,75095.0,80789.0,87337.0,96041.0,107414.0,122266.0,131558.0,125177.0,134120.0,140805,145827,151588,157124,162322,161058,168048,178342,186092
