Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belize,206.0,226.0,222.0,245.0,283.0,287.0,315.0,393.0,451.0,542.0,625.0,720.0,825.0,898.0,918.0,944.0,975.0,1027.0,1077.0,1188.0,1373.0,1475.0,1574.0,1755.0,1876.0,1972.0,2131.0,2200.0,2320.0,2340.0,2439.0,2538,2458,2498,2541,2612,2666,2703,2848,2950
Benin,3581.0,3996.0,4314.0,4393.0,4570.0,4919.0,5156.0,5174.0,5540.0,5593.0,6323.0,6813.0,7174.0,7773.0,8099.0,8769.0,9316.0,10020.0,10534.0,11148.0,12068.0,12998.0,13814.0,14572.0,15626.0,16392.0,17564.0,19118.0,20439.0,21047.0,21751.0,22860,24309,26709,29147,30531,32668,34023,37169,40431
Bhutan,194.0,241.0,277.0,309.0,345.0,371.0,409.0,503.0,600.0,662.0,749.0,812.0,848.0,896.0,936.0,1013.0,1093.0,1173.0,1258.0,1366.0,1494.0,1635.0,1818.0,2027.0,2224.0,2447.0,2703.0,3133.0,3543.0,3772.0,4180.0,4688,5194,5462,5871,6591,7270,7934,8435,8953
Bolivia,10681.0,11727.0,11961.0,11927.0,12333.0,12509.0,12433.0,13054.0,13908.0,15001.0,16284.0,17721.0,18423.0,19665.0,21023.0,22468.0,23877.0,25492.0,27075.0,27574.0,28906.0,30055.0,31282.0,32764.0,35048.0,37745.0,40776.0,43790.0,47373.0,49278.0,51928.0,55765,61453,69841,75554,77543,82736,94285,100615,104685
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,11394.0,14239.0,16389.0,18406.0,19659.0,20577.0,21954.0,23251.0,25369.0,27273.0,29714.0,32342.0,34806.0,34743.0,35431.0,36495,37104,38975,39732,41195,44253,46394,49279,51581
Botswana,1785.0,2113.0,2600.0,2994.0,3304.0,3671.0,4067.0,4788.0,6118.0,6655.0,7510.0,8248.0,8419.0,8965.0,9085.0,9928.0,10699.0,11757.0,11975.0,13318.0,13890.0,14239.0,15338.0,16364.0,17258.0,18611.0,20789.0,23119.0,25033.0,23266.0,25562.0,27671,26702,29222,32797,31046,35938,35167,37440,39250
Brazil,570510.0,597009.0,637674.0,640115.0,698418.0,777425.0,852913.0,905479.0,939886.0,1007999.0,1002131.0,1046710.0,1065567.0,1141707.0,1228298.0,1309441.0,1362871.0,1433434.0,1454471.0,1481867.0,1581938.0,1640061.0,1716479.0,1770328.0,1922557.0,2046341.0,2193060.0,2389039.0,2558893.0,2572051.0,2798926.0,2970631,2998535,3133894,3187155,3014755,2939095,3018706,3145951,3247416
Brunei,,,,,,13137.0,13030.0,13394.0,13816.0,14674.0,15389.0,16410.0,17583.0,18054.0,19020.0,20288.0,21255.0,21302.0,21422.0,22387.0,23547.0,24738.0,26097.0,27384.0,28261.0,29261.0,31400.0,31035.0,30396.0,30009.0,31203.0,33044,35210,33885,33344,25949,23633,25891,26523,28042
Bulgaria,47017.0,54193.0,59958.0,64175.0,69550.0,73041.0,78460.0,84180.0,89240.0,92276.0,87018.0,80285.0,75196.0,68029.0,66935.0,67245.0,62969.0,54963.0,57964.0,53913.0,57771.0,61327.0,65991.0,70760.0,77340.0,85472.0,94102.0,102983.0,111345.0,108277.0,110191.0,115129,118702,120521,126862,131703,142682,151814,160247,169140
Burkina Faso,2564.0,2881.0,3102.0,3184.0,3352.0,3849.0,4239.0,4333.0,4746.0,5038.0,5195.0,5858.0,6006.0,6361.0,6582.0,7104.0,8031.0,8686.0,9425.0,10259.0,10690.0,11653.0,12350.0,13577.0,14565.0,16323.0,17879.0,19117.0,20614.0,21361.0,23443.0,25515,26835,28735,29761,31033,35340,39238,42880,46135
Burundi,1283.0,1576.0,1655.0,1784.0,1851.0,2135.0,2249.0,2431.0,2643.0,2784.0,2988.0,3268.0,3376.0,3240.0,3183.0,2992.0,2803.0,2863.0,3033.0,3112.0,3239.0,3367.0,3500.0,3657.0,3897.0,4195.0,4558.0,4843.0,5176.0,5408.0,5753.0,6109,6386,7069,7649,8551,8358,8375,8714,9033
