Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Latvia,,,15926.0,14445.0,15078.0,15074.0,15744.0,17435.0,18749.0,19534.0
Lebanon,13549.0,19358.0,20689.0,22662.0,25005.0,27187.0,28803.0,32285.0,33921.0,34124.0
Lesotho,1436.0,1555.0,1690.0,1796.0,1917.0,2012.0,2150.0,2263.0,2320.0,2390.0
Liberia,,,,,,,,,,
Libya,105327.0,125937.0,125313.0,123455.0,128532.0,114959.0,120146.0,121476.0,122379.0,124678.0
Lithuania,,,,,,24879.0,26662.0,29376.0,31927.0,32007.0
Luxembourg,14135.0,15876.0,16533.0,17636.0,18701.0,19367.0,20020.0,21575.0,23234.0,25545.0
Macau,,,,,,,,,,
Madagascar,14053.0,13612.0,14087.0,14724.0,15032.0,15605.0,16233.0,17123.0,17994.0,19105.0
Malawi,6179.0,6945.0,6583.0,7392.0,6771.0,7869.0,8813.0,9555.0,9765.0,10254.0
Malaysia,125061.0,141635.0,157735.0,177453.0,197938.0,221953.0,248624.0,271442.0,254298.0,273692.0
Maldives,797.0,881.0,959.0,1035.0,1137.0,1246.0,1384.0,1554.0,1726.0,1877.0
Mali,7016.0,7810.0,7863.0,8336.0,8838.0,9294.0,10153.0,10823.0,11265.0,12138.0
Malta,3974.0,4351.0,4810.0,5118.0,5468.0,5966.0,6318.0,6739.0,7046.0,7416.0
Marshall Islands,,,,,,,,103.0,104.0,104.0
Mauritania,5495.0,5681.0,5914.0,6409.0,6346.0,7115.0,7667.0,7484.0,7778.0,8496.0
Mauritius,5271.0,5691.0,6200.0,6670.0,7094.0,7553.0,8121.0,8731.0,9365.0,9745.0
Mexico,733175.0,789918.0,836529.0,879797.0,942990.0,902193.0,980940.0,1066175.0,1133852.0,1181490.0
Federated States of Micronesia,,,,,,217.0,215.0,205.0,213.0,219.0
Moldova,,,13089.0,13238.0,9343.0,9403.0,9010.0,9312.0,8805.0,8625.0
Mongolia,7489.0,7030.0,6524.0,6467.0,6746.0,7327.0,7628.0,8062.0,8425.0,8806.0
Montenegro,,,,,,,,,,
Morocco,63719.0,70628.0,70722.0,71862.0,81168.0,78391.0,89703.0,89825.0,97412.0,99853.0
Mozambique,3724.0,4102.0,3938.0,4459.0,4852.0,5066.0,5736.0,6495.0,7220.0,8178.0
Myanmar,,,,,,,,,35372.0,38895.0
Namibia,5485.0,5973.0,6676.0,6723.0,7073.0,7519.0,7901.0,8376.0,8749.0,9171.0
Nauru,,,,,,,,,,
Nepal,16083.0,17686.0,18832.0,20020.0,22128.0,23376.0,25074.0,26848.0,27949.0,29614.0
Netherlands,314312.0,332908.0,345905.0,358579.0,377257.0,395848.0,417182.0,442741.0,468626.0,499144.0
New Zealand,51784.0,52829.0,54411.0,58613.0,63206.0,67690.0,71735.0,74765.0,75838.0,80412.0
Nicaragua,8129.0,8390.0,8616.0,8785.0,9421.0,10187.0,11032.0,11667.0,12237.0,13282.0
Niger,6110.0,6289.0,6561.0,6739.0,7010.0,7333.0,7475.0,7720.0,8585.0,8687.0
Nigeria,173963.0,178853.0,186942.0,194375.0,199036.0,207014.0,219347.0,229568.0,237945.0,242557.0
North Macedonia,,,11570.0,10956.0,10989.0,11096.0,11435.0,11789.0,12325.0,13042.0
Norway,117591.0,125318.0,132755.0,139768.0,149970.0,159478.0,170563.0,182673.0,189577.0,196118.0
Oman,41684.0,45698.0,50709.0,55100.0,58441.0,62549.0,65535.0,70783.0,73515.0,74799.0
Pakistan,191358.0,207972.0,228811.0,239147.0,254926.0,273446.0,296828.0,307088.0,321394.0,339553.0
Palau,,,,,,,,,,
Panama,12070.0,13653.0,15110.0,16312.0,17135.0,17801.0,19463.0,21082.0,22882.0,24105.0
Papua New Guinea,5527.0,6261.0,7289.0,8457.0,9543.0,9408.0,10212.0,9729.0,10299.0,10638.0
Paraguay,22747.0,24337.0,25314.0,27193.0,29251.0,31902.0,32998.0,34991.0,35409.0,35417.0
Peru,73635.0,77814.0,79158.0,85283.0,97826.0,107279.0,112302.0,121636.0,122524.0,126108.0
Philippines,163907.0,168711.0,173277.0,181254.0,193222.0,206398.0,222494.0,238069.0,239511.0,251014.0
Poland,254847.0,245009.0,255686.0,272968.0,293405.0,319711.0,345877.0,376774.0,399996.0,423984.0
Portugal,129037.0,137896.0,145453.0,147877.0,153285.0,160110.0,168755.0,179220.0,189951.0,200152.0
Puerto Rico,47426.0,50160.0,53645.0,57467.0,61151.0,65274.0,68007.0,72555.0,78154.0,82753.0
Qatar,26032.0,26502.0,29932.0,30368.0,31615.0,32394.0,34383.0,44680.0,49815.0,52420.0
Romania,178539.0,160717.0,149970.0,155869.0,165458.0,180986.0,191577.0,183084.0,176225.0,176653.0
Russia,,,1602609.0,1497860.0,1335563.0,1307660.0,1283560.0,1323738.0,1267082.0,1366548.0
Rwanda,3963.0,3921.0,4275.0,3922.0,2328.0,2960.0,3364.0,3932.0,4307.0,4513.0
Samoa,303.0,306.0,326.0,339.0,368.0,401.0,438.0,449.0,459.0,462.0
San Marino,,,,,,,,1149.0,1249.0,1380.0
São Tomé and Príncipe,179.0,187.0,192.0,199.0,208.0,217.0,224.0,230.0,238.0,248.0
Saudi Arabia,520329.0,618658.0,657989.0,664397.0,682380.0,698165.0,729701.0,750476.0,780881.0,762083.0
Senegal,11739.0,12446.0,12888.0,13366.0,13621.0,14754.0,15305.0,15992.0,17138.0,18419.0
Serbia,,,,,,,,,,
Seychelles,593.0,630.0,691.0,759.0,756.0,776.0,869.0,991.0,1027.0,1061.0
Sierra Leone,4517.0,4296.0,3970.0,4067.0,4299.0,3949.0,3024.0,2535.0,2542.0,2369.0
Singapore,72549.0,80019.0,87277.0,99587.0,113002.0,123679.0,135354.0,149143.0,147511.0,158152.0
Slovakia,,,,43952.0,47677.0,52509.0,57181.0,60753.0,63941.0,64773.0
Slovenia,,,22321.0,23489.0,25263.0,26850.0,28326.0,30270.0,31615.0,33769.0
Solomon Islands,382.0,418.0,482.0,513.0,567.0,637.0,659.0,664.0,680.0,687.0
Somalia,,,,,,,,,,
South Africa,,,,275983.0,290898.0,306205.0,325220.0,339429.0,344966.0,358222.0
South Sudan,,,,,,,,,,
Spain,593930.0,629524.0,649347.0,656004.0,685658.0,728891.0,760210.0,803210.0,848548.0,901338.0
Sri Lanka,37241.0,42666.0,42271.0,46508.0,51318.0,55565.0,63464.0,71202.0,70818.0,73884.0
Saint Kitts and Nevis,355.0,375.0,395.0,426.0,459.0,485.0,523.0,571.0,583.0,615.0
Saint Lucia,946.0,982.0,1084.0,1116.0,1158.0,1203.0,1261.0,1274.0,1369.0,1425.0
Saint Vincent and the Grenadines,401.0,424.0,464.0,492.0,497.0,542.0,557.0,588.0,621.0,643.0
Sudan,38804.0,42934.0,46346.0,48749.0,51540.0,57283.0,61520.0,66371.0,72650.0,76794.0
Suriname,2852.0,2541.0,2701.0,2704.0,2568.0,2919.0,3305.0,3597.0,3718.0,3736.0
Sweden,171821.0,175673.0,177996.0,178882.0,189883.0,201494.0,208424.0,218528.0,230517.0,243693.0
Switzerland,214538.0,219921.0,224433.0,229306.0,237193.0,243552.0,249409.0,259379.0,270240.0,278647.0
Syria,36423.0,41694.0,48293.0,53100.0,57236.0,61605.0,64594.0,64991.0,69373.0,68155.0
Taiwan,204002.0,228557.0,253192.0,276854.0,303984.0,330526.0,357368.0,385528.0,406261.0,439720.0
Tajikistan,,,8099.0,7370.0,5917.0,5286.0,5148.0,5325.0,5671.0,5963.0
Tanzania,23105.0,24381.0,25082.0,25987.0,26958.0,28505.0,30347.0,31958.0,33516.0,35634.0
Thailand,240438.0,269457.0,301035.0,334905.0,369414.0,407786.0,438723.0,433999.0,405379.0,429888.0
Timor-Leste,,,,,,,,,,
Togo,4840.0,4974.0,4925.0,4219.0,4909.0,5999.0,5872.0,6201.0,6128.0,6373.0
Tonga,235.0,257.0,253.0,259.0,270.0,297.0,303.0,306.0,317.0,328.0
Trinidad and Tobago,8952.0,9543.0,10746.0,10927.0,11558.0,12250.0,13364.0,14618.0,15983.0,17509.0
Tunisia,29405.0,31658.0,34972.0,36688.0,38831.0,40704.0,44291.0,47634.0,50561.0,54358.0
Turkey,397415.0,414661.0,449491.0,497151.0,480066.0,525373.0,572480.0,626189.0,652819.0,640415.0
Turkmenistan,,,17745.0,16349.0,13810.0,13084.0,12431.0,11216.0,12103.0,14298.0
Tuvalu,,,,,,,,,,
Uganda,12739.0,13404.0,14512.0,15849.0,17433.0,19431.0,21092.0,22447.0,24078.0,26360.0
Ukraine,,,331074.0,290793.0,228991.0,205270.0,188125.0,185628.0,184151.0,186372.0
United Arab Emirates,155152.0,163834.0,172754.0,176798.0,193869.0,210958.0,226293.0,249883.0,254695.0,267972.0
United Kingdom,993523.0,1015795.0,1043111.0,1094427.0,1160795.0,1215135.0,1268216.0,1354269.0,1420291.0,1487764.0
United States,5963125.0,6158125.0,6520325.0,6858550.0,7287250.0,7639750.0,8073125.0,8577550.0,9062825.0,9631175.0
Uruguay,22158.0,23718.0,26183.0,27516.0,30150.0,30337.0,32615.0,34852.0,36753.0,36166.0
Uzbekistan,,,51142.0,51150.0,49526.0,50110.0,51895.0,55535.0,58575.0,61954.0
Vanuatu,214.0,229.0,240.0,247.0,276.0,284.0,296.0,316.0,323.0,329.0
Venezuela,188284.0,213592.0,231698.0,237843.0,237216.0,251761.0,255863.0,276857.0,280797.0,267752.0
Vietnam,77722.0,85018.0,94521.0,104577.0,116246.0,130007.0,144752.0,159251.0,170328.0,180973.0
Palestine,,,,,4967.0,5432.0,5599.0,6531.0,7551.0,8291.0
Yemen,24197.0,26590.0,29428.0,31331.0,34151.0,36844.0,39257.0,42023.0,45049.0,47409.0
Zambia,12933.0,13281.0,13863.0,14180.0,12556.0,13190.0,14267.0,15067.0,15177.0,16107.0
Zimbabwe,,,,,,,,,28696.0,28777.0
