Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Afghanistan,,,,,,,,,,
Albania,9782.0,7281.0,6911.0,7754.0,8664.0,9633.0,10702.0,9697.0,10672.0,12217.0
Algeria,178817.0,182647.0,189798.0,190211.0,192526.0,204126.0,215762.0,221897.0,235839.0,246815.0
Andorra,,,,,,,,,,
Angola,19681.0,22805.0,25984.0,29518.0,33317.0,37541.0,42513.0,46392.0,49115.0,50893.0
Antigua and Barbuda,724.0,765.0,792.0,853.0,929.0,908.0,985.0,1057.0,1120.0,1177.0
Argentina,230785.0,263638.0,297418.0,323499.0,349671.0,346845.0,372716.0,409894.0,430468.0,421755.0
Armenia,,,5605.0,4932.0,5309.0,5856.0,6271.0,6595.0,7088.0,7416.0
Aruba,1361.0,1519.0,1645.0,1807.0,1997.0,2090.0,2155.0,2346.0,2420.0,2488.0
Australia,323682.0,331280.0,347507.0,369618.0,396010.0,415788.0,441020.0,469115.0,496736.0,526187.0
Austria,155910.0,166730.0,174100.0,179165.0,187387.0,196421.0,204814.0,212708.0,222806.0,233981.0
Azerbaijan,,,32738.0,25773.0,21145.0,18776.0,19603.0,21713.0,23276.0,26294.0
Bahamas,5291.0,5241.0,5155.0,5294.0,5577.0,5943.0,6308.0,6734.0,7131.0,7748.0
Bahrain,14653.0,15495.0,16977.0,18700.0,19713.0,20514.0,21568.0,22455.0,23809.0,25587.0
Bangladesh,90325.0,97305.0,104301.0,111389.0,118903.0,127187.0,136009.0,145693.0,154764.0,165452.0
Barbados,2503.0,2486.0,2398.0,2475.0,2578.0,2685.0,2843.0,3029.0,3178.0,3233.0
Belarus,,,50706.0,47963.0,43256.0,39268.0,41097.0,46585.0,51086.0,53544.0
Belgium,195048.0,205341.0,213235.0,216189.0,227933.0,238262.0,245830.0,259555.0,267626.0,281012.0
Belize,625.0,720.0,825.0,898.0,918.0,944.0,975.0,1027.0,1077.0,1188.0
Benin,6323.0,6813.0,7174.0,7773.0,8099.0,8769.0,9316.0,10020.0,10534.0,11148.0
Bhutan,749.0,812.0,848.0,896.0,936.0,1013.0,1093.0,1173.0,1258.0,1366.0
Bolivia,16284.0,17721.0,18423.0,19665.0,21023.0,22468.0,23877.0,25492.0,27075.0,27574.0
Bosnia and Herzegovina,,,,,,,11394.0,14239.0,16389.0,18406.0
Botswana,7510.0,8248.0,8419.0,8965.0,9085.0,9928.0,10699.0,11757.0,11975.0,13318.0
Brazil,1002131.0,1046710.0,1065567.0,1141707.0,1228298.0,1309441.0,1362871.0,1433434.0,1454471.0,1481867.0
Brunei,15389.0,16410.0,17583.0,18054.0,19020.0,20288.0,21255.0,21302.0,21422.0,22387.0
Bulgaria,87018.0,80285.0,75196.0,68029.0,66935.0,67245.0,62969.0,54963.0,57964.0,53913.0
Burkina Faso,5195.0,5858.0,6006.0,6361.0,6582.0,7104.0,8031.0,8686.0,9425.0,10259.0
Burundi,2988.0,3268.0,3376.0,3240.0,3183.0,2992.0,2803.0,2863.0,3033.0,3112.0
Cape Verde,568.0,595.0,627.0,689.0,752.0,826.0,897.0,982.0,1077.0,1222.0
Cambodia,5422.0,6030.0,6604.0,7034.0,7772.0,8409.0,9068.0,9594.0,10156.0,11608.0
Cameroon,21589.0,21479.0,21298.0,21114.0,21027.0,22177.0,23693.0,25382.0,26924.0,28413.0
Canada,564117.0,571030.0,589301.0,619320.0,660978.0,693018.0,717134.0,760722.0,799257.0,852366.0
Central African Republic,2028.0,2079.0,2022.0,2045.0,2351.0,2477.0,2367.0,2506.0,2619.0,2733.0
Chad,4293.0,4900.0,5131.0,5144.0,5542.0,5615.0,5838.0,6275.0,6787.0,6835.0
Chile,77143.0,85905.0,97643.0,106676.0,114469.0,127206.0,138437.0,151267.0,159634.0,161145.0
China,1105115.0,1248742.0,1459551.0,1701521.0,1964285.0,2225450.0,2491030.0,2768307.0,3019394.0,3297109.0
Colombia,165375.0,175024.0,186805.0,202152.0,217098.0,233181.0,242333.0,254967.0,259306.0,251905.0
Comoros,687.0,666.0,732.0,768.0,753.0,812.0,823.0,874.0,884.0,921.0
Democratic Republic of the Congo,32662.0,30914.0,28311.0,25079.0,24041.0,25223.0,25188.0,23613.0,22954.0,22392.0
Republic of the Congo,8129.0,8689.0,9259.0,9603.0,9671.0,10265.0,10818.0,10894.0,12003.0,11724.0
Costa Rica,15672.0,16569.0,18505.0,20288.0,21658.0,23031.0,23769.0,25503.0,27636.0,29206.0
Ivory Coast,34312.0,35487.0,36205.0,36996.0,37851.0,40798.0,44925.0,48315.0,51268.0,52831.0
Croatia,,,38797.0,36539.0,39522.0,43027.0,46389.0,50325.0,51839.0,52077.0
Cyprus,8313.0,8658.0,9684.0,9983.0,10798.0,12118.0,12494.0,13045.0,13998.0,14905.0
Czech Republic,,,,,,146309.0,155730.0,157594.0,158800.0,163266.0
Denmark,112587.0,118021.0,123075.0,126002.0,135551.0,142585.0,149414.0,156945.0,162224.0,169360.0
Djibouti,,1653.0,1700.0,1623.0,1635.0,1611.0,1579.0,1587.0,1607.0,1677.0
Dominica,302.0,317.0,331.0,346.0,353.0,372.0,390.0,406.0,426.0,433.0
Dominican Republic,26139.0,27279.0,31031.0,34106.0,35740.0,38564.0,41618.0,46097.0,49746.0,53443.0
Ecuador,48253.0,52435.0,55568.0,58023.0,61786.0,64503.0,66821.0,70915.0,74056.0,71540.0
Egypt,221218.0,233503.0,239541.0,252329.0,268511.0,286433.0,305909.0,329603.0,358454.0,385714.0
El Salvador,15416.0,16176.0,17706.0,19180.0,20509.0,21930.0,22514.0,23620.0,24520.0,25403.0
Equatorial Guinea,185.0,189.0,257.0,291.0,347.0,448.0,696.0,1756.0,2217.0,2841.0
Eritrea,,,1694.0,1957.0,2417.0,2525.0,2807.0,3081.0,3177.0,3227.0
Estonia,,,,11205.0,11257.0,11741.0,12547.0,14428.0,15224.0,15373.0
Eswatini,2890.0,3041.0,3211.0,3389.0,3544.0,3793.0,4011.0,4207.0,4365.0,4557.0
Ethiopia,19113.0,18334.0,17081.0,19823.0,20952.0,22701.0,26245.0,27455.0,26602.0,28675.0
Fiji,3377.0,3397.0,3687.0,3872.0,4157.0,4354.0,4647.0,4613.0,4726.0,5209.0
Finland,93033.0,90518.0,89531.0,91046.0,96676.0,102866.0,108591.0,117460.0,125264.0,132593.0
France,1113979.0,1162525.0,1206655.0,1228309.0,1283855.0,1340063.0,1383547.0,1439750.0,1508628.0,1580049.0
Gabon,11755.0,12896.0,12783.0,13602.0,14409.0,15443.0,16295.0,17528.0,18341.0,16936.0
Gambia,1528.0,1614.0,1680.0,1786.0,1762.0,1859.0,1948.0,2009.0,2164.0,2335.0
Georgia,,,,,8430.0,8831.0,9937.0,11171.0,11648.0,12151.0
Germany,1617093.0,1755564.0,1830039.0,1855111.0,1940192.0,2011395.0,2064932.0,2138041.0,2205789.0,2279076.0
Ghana,24368.0,26395.0,28204.0,30251.0,31981.0,34033.0,36308.0,39075.0,41494.0,43985.0
Greece,135869.0,144821.0,149154.0,150247.0,156525.0,163163.0,170907.0,181649.0,190849.0,199483.0
Grenada,453.0,475.0,482.0,484.0,503.0,525.0,558.0,596.0,673.0,731.0
Guatemala,31531.0,33576.0,35920.0,38022.0,40193.0,42842.0,44848.0,47491.0,50235.0,52828.0
Guinea,5602.0,5936.0,6270.0,6742.0,7162.0,7654.0,8142.0,8712.0,9131.0,9612.0
Guinea-Bissau,836.0,928.0,978.0,1024.0,1077.0,1144.0,1209.0,1303.0,1022.0,1211.0
Guyana,2039.0,2235.0,2463.0,2728.0,3023.0,3242.0,3564.0,3850.0,3827.0,3997.0
Haiti,14575.0,15259.0,15255.0,14848.0,13405.0,15040.0,15950.0,16664.0,17219.0,17935.0
Honduras,9784.0,10444.0,11283.0,12270.0,12369.0,13143.0,13863.0,14806.0,15407.0,15510.0
Hong Kong,104107.0,113765.0,123613.0,134389.0,145545.0,152124.0,161506.0,172670.0,164341.0,170835.0
Hungary,114269.0,104085.0,103195.0,105032.0,110437.0,115618.0,117832.0,123631.0,129899.0,135774.0
Iceland,4895.0,5049.0,4990.0,5175.0,5476.0,5598.0,5961.0,6413.0,6963.0,7345.0
India,961777.0,1004812.0,1084054.0,1162464.0,1266355.0,1390841.0,1523236.0,1612250.0,1731227.0,1904198.0
Indonesia,532011.0,599111.0,652732.0,721363.0,792324.0,875433.0,961158.0,1023683.0,899317.0,919204.0
Iran,405705.0,464615.0,485218.0,502959.0,506051.0,521946.0,564538.0,571115.0,588575.0,598710.0
Iraq,,,,,,,,,79244.0,100251.0
Ireland,50418.0,52979.0,56126.0,58786.0,63580.0,71141.0,79030.0,89032.0,97920.0,109749.0
Israel,60314.0,65233.0,71494.0,75948.0,83009.0,92931.0,100335.0,106071.0,111768.0,117389.0
Italy,1153057.0,1209208.0,1245704.0,1264579.0,1318382.0,1382137.0,1425275.0,1476385.0,1520035.0,1566513.0
Jamaica,12618.0,13154.0,13827.0,14468.0,15054.0,15757.0,16083.0,16092.0,16077.0,16463.0
Japan,2506131.0,2679432.0,2763735.0,2814583.0,2899875.0,3038574.0,3191182.0,3278059.0,3272846.0,3307878.0
Jordan,15830.0,16764.0,19423.0,20507.0,22002.0,23910.0,24510.0,25998.0,27151.0,28311.0
Kazakhstan,,,120338.0,111856.0,99874.0,93606.0,95797.0,99106.0,98317.0,102394.0
Kenya,40609.0,42544.0,43044.0,44022.0,46101.0,49085.0,52057.0,53173.0,55375.0,57390.0
Kiribati,82.0,85.0,88.0,91.0,95.0,96.0,99.0,103.0,111.0,111.0
South Korea,323453.0,370433.0,402360.0,440224.0,491301.0,549830.0,604078.0,652411.0,625913.0,707517.0
Kosovo,,,,,,,,,,
Kuwait,52912.0,32269.0,60336.0,83465.0,92593.0,96112.0,98457.0,102652.0,107600.0,107165.0
Kyrgyzstan,,,9142.0,8142.0,6668.0,6439.0,7021.0,7851.0,8107.0,8522.0
Laos,4498.0,4836.0,5292.0,5735.0,6336.0,6925.0,7537.0,8197.0,8644.0,9119.0
