Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,46309.0,50334,59945,63784,69444,72056,70098,74712,77406,81873
Albania,28331.0,29655,30530,30604,32529,33595,34736,37609,40075,41678
Algeria,471208.0,494947,497330,497988,506135,477358,471382,485802,503376,516480
Andorra,3577.0,3651,3571,3563,3718,3784,4072,4215,4384,4552
Angola,153887.0,162539,186124,199866,220365,204604,204875,217805,218446,221164
Antigua and Barbuda,1815.0,1816,1772,1720,1762,1770,1883,1893,2073,2210
Argentina,736799.0,797264,819698,849616,839897,867177,885228,1039331,1036859,1033371
Armenia,21600.0,23086,27009,28500,29231,29167,31429,35677,38437,42111
Aruba,3434.0,3624,3552,3799,3817,3893,3941,4098,4250,4235
Australia,924413.0,970480,983739,1083481,1111524,1113058,1174004,1232436,1297812,1346281
Austria,355061.0,373031,391635,406370,417060,431092,460236,479433,503552,519832
Azerbaijan,135166.0,135804,148340,161865,166329,144146,140230,139153,144615,150852
Bahamas,10912.0,11207,11713,11621,12323,12699,12977,13712,14428,14789
Bahrain,58169.0,60556,65875,67717,68276,62523,63831,71282,74240,77502
Bangladesh,387271.0,420989,473808,509208,553757,595349,650672,710584,785863,868972
Barbados,4551.0,4614,4344,4360,4322,4426,4559,4519,4600,4622
Belarus,145811.0,156715,171038,179366,179598,171204,168422,173630,183356,189336
Belgium,435357.0,451933,469721,487344,503621,521018,550622,575834,600130,621768
Belize,2439.0,2538,2458,2498,2541,2612,2666,2703,2848,2950
Benin,21751.0,22860,24309,26709,29147,30531,32668,34023,37169,40431
Bhutan,4180.0,4688,5194,5462,5871,6591,7270,7934,8435,8953
Bolivia,51928.0,55765,61453,69841,75554,77543,82736,94285,100615,104685
Bosnia and Herzegovina,35431.0,36495,37104,38975,39732,41195,44253,46394,49279,51581
Botswana,25562.0,27671,26702,29222,32797,31046,35938,35167,37440,39250
Brazil,2798926.0,2970631,2998535,3133894,3187155,3014755,2939095,3018706,3145951,3247416
Brunei,31203.0,33044,35210,33885,33344,25949,23633,25891,26523,28042
Bulgaria,110191.0,115129,118702,120521,126862,131703,142682,151814,160247,169140
Burkina Faso,23443.0,25515,26835,28735,29761,31033,35340,39238,42880,46135
Burundi,5753.0,6109,6386,7069,7649,8551,8358,8375,8714,9033
Cape Verde,2805.0,2977,2940,2964,2979,3146,3358,3571,3822,4111
Cambodia,34743.0,37972,42401,45764,48654,52598,57942,62891,69203,75410
Cameroon,54559.0,57992,61350,66290,72250,75965,81471,87321,93039,98227
Canada,1358930.0,1430807,1468095,1554123,1621397,1594899,1678387,1776855,1863502,1932147
Central African Republic,4207.0,4475,4889,3285,3216,3536,3862,4195,4460,4674
Chad,21767.0,22246,22192,20808,23012,25683,24494,24028,25169,26377
Chile,323438.0,350360,374116,394270,404578,407610,413339,436911,463980,477076
China,12282959.0,13735671,15137455,16277355,17200686,17880337,18701703,19814058,21656955,23356236
Colombia,485367.0,529875,553768,591783,625019,630400,672094,700092,735198,772904
Comoros,1553.0,1651,1818,1955,2063,2107,2278,2468,2619,2712
Democratic Republic of the Congo,40932.0,44655,46214,53768,62685,69036,75927,86267,93465,99313
Republic of the Congo,22866.0,23856,28576,28056,28096,22531,19019,21679,21121,21406
Costa Rica,58889.0,62759,67139,71160,77049,82853,90838,97896,102857,107059
Ivory Coast,72768.0,70672,78215,86354,97907,108069,112610,118051,129200,139706
Croatia,87417.0,89056,90339,92861,93503,96730,103833,110450,116263,121725
Cyprus,27658.0,28346,27503,26182,25644,26976,30414,32720,35257,36991
