Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Czech Republic,293046.0,304401,307490,324030,342100,357600,381382,412903,436289,457548
Denmark,239122.0,247352,250525,262368,270331,278823,297689,320054,334223,347395
Djibouti,3016.0,3303,3436,3625,3857,4207,4385,4638,5152,5638
Dominica,710.0,723,706,721,776,793,852,839,889,973
Dominican Republic,110637.0,116474,118183,125424,136976,151560,167506,175941,192722,206081
Ecuador,136471.0,150267,159560,175196,186847,179310,181967,195011,202244,205887
Egypt,828753.0,860900,958660,992022,985262,1064236,1057087,1062266,1145440,1230730
El Salvador,37893.0,40156,40804,43093,45534,48056,51095,54006,56630,59162
Equatorial Guinea,31111.0,33830,38743,37423,37816,28095,24861,28459,27322,26148
Eritrea,4071.0,5224,5425,4943,6594,5312,5744,5247,6073,6419
Estonia,29772.0,32598,34385,36198,38050,38389,41197,44663,47621,50458
Eswatini,8276.0,8638,8922,9465,9633,9728,9698,9457,9913,10317
Ethiopia,89953.0,102289,112533,122434,148487,167119,194652,215094,237196,263259
Fiji,7372.0,7729,8283,8942,9832,10782,11020,11784,12525,12692
Finland,210619.0,220471,221286,225680,228059,232930,246904,262075,271400,279966
France,2344241.0,2446475,2474005,2608524,2662033,2719224,2863816,2997297,3125387,3239760
Gabon,24100.0,26345,26868,27464,28956,28630,28685,30987,31995,33842
Gambia,4367.0,4095,4191,4166,4103,4311,4446,4589,5038,5447
Georgia,28656.0,31405,36640,39451,43054,45036,47930,50663,54385,58116
Germany,3219486.0,3415020,3487234,3628559,3807115,3890125,4164749,4411728,4566190,4696684
Ghana,100391.0,116773,133277,140883,151592,144984,142203,148983,161999,175629
Greece,310824.0,285079,275156,284524,290196,289223,296000,307521,319776,331540
Grenada,1154.0,1187,1200,1286,1420,1551,1657,1798,1921,1969
Guatemala,95265.0,101567,107165,112026,118754,127566,130131,133883,141635,149744
Guinea,16857.0,18173,18497,19731,20122,20799,24400,29177,31773,34168
Guinea-Bissau,2145.0,2367,2307,2386,2510,3050,3288,3832,4055,4313
Guyana,6292.0,6772,7916,8370,8360,8594,8714,9307,9952,10673
Haiti,26415.0,28339,28318,30706,31283,31002,33431,34631,36049,36076
Honduras,31431.0,33314,34844,36446,39876,43955,47719,52444,55762,58265
Hong Kong,345525.0,369685,373483,385448,396044,411294,419811,442388,465849,466217
Hungary,220410.0,229348,230214,242367,253001,263642,273898,291996,315114,335639
Iceland,12562.0,13059,13472,14378,15059,16281,17938,19267,20693,21576
India,5161394.0,5618382,6153153,6477517,6781022,7159796,7735002,8276933,9028307,9561228
Indonesia,2057206.0,2229512,2413435,2535041,2622252,2647707,2744897,2894126,3116589,3331536
Iran,1282789.0,1344086,1204869,1168173,1180245,1066589,1114815,1172665,1128326,1070593
Iraq,378271.0,415269,483559,515106,490962,369519,346956,405430,434638,468122
Ireland,200132.0,206473,213241,221160,238003,324658,339965,375332,419001,447468
Israel,220833.0,237916,251921,276637,282342,297227,323490,341474,363558,384027
Italy,2113984.0,2173170,2172382,2187375,2200257,2241524,2420428,2529502,2614318,2668735
Jamaica,22272.0,23059,23269,24136,24568,25418,26720,28040,29235,30047
Japan,4534092.0,4629401,4799614,5021591,5034456,5200905,5159726,5248419,5403826,5501303
Jordan,68704.0,72051,74340,79417,81884,87705,90249,97892,102169,106030
Kazakhstan,313824.0,344049,369966,417452,427478,407416,423833,448473,478013,508459
Kenya,109592.0,117598,125523,141004,156802,176338,192816,211109,228319,243980
Kiribati,159.0,165,176,187,189,211,224,230,245,259
South Korea,1535597.0,1625275,1684563,1726903,1792600,1933849,2026536,2105893,2218889,2309266
Kosovo,13820.0,14725,15320,16009,16393,17125,17886,18860,20047,21413
Kuwait,221263.0,247607,276884,275264,258671,181157,176815,206275,216343,218998
Kyrgyzstan,16812.0,18184,20288,23124,24987,25107,28459,31280,33136,35280
Laos,24482.0,26987,31202,34600,39000,41583,46850,50445,54899,58480
Latvia,37675.0,40946,43550,45914,47459,49375,52334,55672,59296,61580
Lebanon,74114.0,76310,82065,88558,94099,98682,104309,109403,110157,103960
Lesotho,4372.0,4688,4795,5407,5926,6402,6225,5563,5638,5650
Liberia,3900.0,4288,4773,5647,5922,5624,6283,7203,7467,7409
Libya,194350.0,66148,148702,99491,53661,48497,51056,69056,83347,96026
Lithuania,64021.0,69298,73809,79034,82647,83784,88692,95675,101817,108135
Luxembourg,45563.0,47691,48646,51940,56354,59097,64400,67280,71031,73963
Macau,53602.0,66543,75588,88663,90217,70042,70432,78559,85637,84877
Madagascar,32469.0,33667,34211,35257,36702,37486,39997,40515,42807,45495
Malawi,20922.0,22393,22415,24722,24747,24133,25100,26013,27804,29844
Malaysia,586796.0,630696,677647,701700,745387,750777,783874,829297,890231,946385
Maldives,4650.0,5153,5438,6140,6957,7628,8279,8964,9924,10808
Mali,26892.0,28340,28185,29823,32435,35447,39327,41593,44608,47569
Malta,11760.0,12061,12703,13757,14924,16674,18122,20692,22488,24203
Marshall Islands,157.0,159,158,167,169,173,177,187,197,214
Mauritania,14942.0,15889,16420,18036,16883,16995,19569,21878,23415,25215
Mauritius,19632.0,20857,21304,22487,23312,24280,26155,27082,28771,30169
Mexico,1806252.0,1911319,2012768,2064491,2173228,2230644,2383390,2472586,2587222,2628855
Federated States of Micronesia,296.0,312,312,306,304,321,327,343,352,362
Moldova,18304.0,19772,21055,23961,25218,26233,29732,32101,34281,36186
Mongolia,20623.0,24692,28890,30402,32507,32285,32833,35222,38677,41400
Montenegro,8519.0,8974,8604,9237,9558,10164,11324,12263,13194,13976
Morocco,207866.0,223316,226124,236670,229402,247207,253685,264213,279042,291441
Mozambique,22568.0,24745,25746,27733,29941,34918,37951,36776,38951,40565
Myanmar,152146.0,163804,184501,198338,209644,216278,213835,225517,245693,266971
Namibia,17753.0,19044,20502,21744,23796,24615,24588,24438,25299,25596
Nauru,49.0,55,62,83,107,112,116,112,121,125
Nepal,58612.0,61877,67618,72735,79300,80943,81509,98516,108558,117856
Netherlands,750418.0,777881,792042,827476,830319,852113,890399,948182,993753,1031310
New Zealand,136612.0,142016,144378,157752,167201,170546,185199,197299,208915,217801
Nicaragua,23189.0,25166,26490,27950,30356,32945,35895,38335,37930,37190
Niger,17464.0,18247,20574,20822,21910,22907,23871,25137,27592,29745
Nigeria,755404.0,808786,836150,897506,971492,982912,973442,990700,1033870,1075606
North Macedonia,23035.0,24064,24559,26270,27776,28760,31370,32458,34191,35907
Norway,298286.0,307472,327988,340138,338506,313315,308491,332135,343874,353008
Oman,135135.0,141481,155907,158880,156303,133780,129565,135696,140215,141546
Pakistan,692193.0,732180,752629,784863,827826,872097,898016,950382,1026937,1067019
Palau,202.0,216,222,223,238,264,268,264,277,280
Panama,55206.0,62728,70434,79815,89330,100479,112346,125038,132631,139108
Papua New Guinea,19326.0,19946,21265,22465,25985,27971,29803,31442,32103,34592
Paraguay,62497.0,66530,64335,72020,75594,76830,81617,86460,91362,92623
Peru,280674.0,304634,318033,337900,348886,355377,376168,399121,424907,441808
Philippines,528741.0,560551,612131,654004,699662,733864,798601,854095,929955,1004508
Poland,812553.0,868897,903837,934553,968368,1020667,1075284,1145324,1235465,1317238
Portugal,281646.0,282621,277992,292135,298952,307312,326331,340796,358879,375100
Puerto Rico,115102.0,117073,118421,119192,119065,118146,117009,114270,112142,115845
Qatar,249716.0,283716,311041,322985,317406,238529,220585,249963,259095,265773
Romania,346620.0,360566,378487,395318,411273,428249,478155,534707,571977,606240
Russia,3039017.0,3259319,3480299,3741783,3763535,3526236,3538582,3818781,4019767,4174861
Rwanda,13549.0,14932,15707,16686,18915,20516,21966,23665,26308,29315
Samoa,871.0,926,905,917,935,985,1075,1107,1110,1170
San Marino,1965.0,1834,1748,1740,1825,1850,1925,1982,2061,2147
São Tomé and Príncipe,519.0,553,557,638,747,765,790,811,855,890
Saudi Arabia,1413177.0,1586748,1672472,1680158,1722862,1541833,1475670,1565892,1642326,1677246
Senegal,33637.0,34794,36714,37797,40124,43318,46119,49402,53723,57092
Serbia,95544.0,99515,100380,104877,104603,105951,111920,116697,124856,132489
Seychelles,1703.0,1832,1904,2012,2183,2248,2430,2617,2716,2817
Sierra Leone,7277.0,7897,9434,11988,12544,11469,12300,12234,12960,13919
Singapore,382291.0,414967,435965,448140,461772,481405,501388,535131,567077,584987
Slovakia,134120.0,140805,145827,151588,157124,162322,161058,168048,178342,186092
Slovenia,57686.0,59391,59745,61745,63653,65283,70072,75777,81019,85149
Solomon Islands,1027.0,1125,1167,1251,1288,1319,1411,1514,1612,1660
Somalia,,13105,10156,9015,9864,11346,12230,12655,13320,13952
South Africa,661392.0,696526,698221,730518,741916,758901,772769,790171,821082,836715
South Sudan,,32402,14508,17633,17392,16179,12577,11185,11231,11532
Spain,1471250.0,1489595,1483647,1512074,1558307,1621505,1733039,1843933,1931225,2006709
Sri Lanka,166048.0,183744,210688,223390,233895,242361,259190,269854,285340,296995
Saint Kitts and Nevis,1110.0,1151,1106,1162,1266,1272,1337,1404,1476,1574
Saint Lucia,2176.0,2328,2312,2396,2455,2430,2573,2701,2847,2896
Saint Vincent and the Grenadines,1098.0,1116,1134,1185,1231,1271,1364,1345,1407,1440
Sudan,171840.0,169773,137750,142298,168145,170584,220516,187695,187027,186226
Suriname,7677.0,8295,9148,9854,10226,9623,8509,10431,11209,11534
Sweden,400150.0,421516,432488,444617,457508,481300,500373,530433,553695,574794
Switzerland,440787.0,458588,479469,503702,525136,546988,570073,588151,619914,638861
Syria,136359.0,136359,136359,136359,136359,136359,136359,136359,136359,136359
Taiwan,889524.0,941367,973232,1015239,1066102,1102036,1112781,1143224,1203154,1260982
Tajikistan,17528.0,19216,21657,24570,27630,25288,26829,27389,30090,32926
Tanzania,88984.0,98013,95918,103322,108827,117377,127683,134162,146926,159979
Thailand,886760.0,912790,1008787,1049948,1059446,1087227,1146041,1205839,1286371,1339060
Timor-Leste,2149.0,2320,2629,2864,3195,3484,3817,3911,3962,4788
Togo,9915.0,10769,11214,11966,12793,13806,14676,15491,16649,17873
Tonga,425.0,463,476,486,505,516,555,585,600,616
Trinidad and Tobago,41077.0,41850,40430,40692,40459,37543,36353,36460,37355,37550
Tunisia,108018.0,108148,110825,112068,115567,114133,117101,120710,126949,130487
Turkey,1281037.0,1454112,1550688,1703670,1860471,2022940,2116184,2282304,2406459,2471299
Turkmenistan,77753.0,90266,93486,92651,98098,89733,83556,89247,92591,86971
Tuvalu,30.0,33,32,34,35,39,41,44,45,53
Uganda,73725.0,81034,77235,80260,84146,84760,86248,89784,97087,106448
Ukraine,378281.0,407226,425994,486365,461987,435490,475722,504188,534240,561196
United Arab Emirates,554800.0,605575,631707,647296,678339,601179,598811,637385,660376,695121
United Kingdom,2274426.0,2351301,2439692,2560721,2667371,2772584,2896461,3032779,3144123,3246271
United States,15048975.0,15599725,16253950,16843225,17550675,18206025,18695100,19479625,20527150,21372600
Uruguay,61377.0,65887,66779,70438,74226,74939,76887,79077,81353,83098
Uzbekistan,156236.0,171483,180491,190612,199767,209082,216467,221561,239002,257168
Vanuatu,565.0,595,612,626,657,666,705,763,804,851
Venezuela,476148.0,506340,544830,561817,550033,520974,436529,375106,308707,204249
Vietnam,471247.0,511889,568401,607018,660612,700257,770872,851064,934110,1018806
Palestine,14878.0,16646,19950,20886,22996,25426,27536,28519,29558,30497
Yemen,96383.0,85876,85441,92756,94312,68589,62781,60729,62647,64661
Zambia,43256.0,46612,49509,53420,54506,54473,55712,58735,62565,64602
Zimbabwe,23249.0,27102,31161,34187,35496,37016,37953,34396,36920,35272
